,path,id,review_title,stars,reviewDate,reviewNumHelp,reviewVerified,reviewComment
0,074349279X,R2UHKBEME9WBDC,"Loved the story, disappointed in the ending",4.0 out of 5 stars,"Reviewed in the United States on May 14, 2013",One person found this helpful,Verified Purchase,"I really liked the synopsis of this book when I purchased it and couldn't wait to read it. And almost the entire way through, I did enjoy it. As the story went on, I began to like Amelia less and less and she was pushed towards being a little unrealistic. However, I felt that Matthew's character changed as well and not necessarily for the better. The argument, however, can be made that Amelia made him this way. Besides that, I enjoyed the characters and the story. But, I was supremely disappointed in the ending. I purchased this on my Kindle so I was keeping an eye on how much of the book I had left. Just when I thought everything was getting very good, I hit the 75% mark on my Kindle and the book was over!! The last 25% of it was acknowledgements and a sample of another Lisa Tucker book. I was so disappointed. There was so much more that could have happened and it just ended."
1,074349279X,R13NDJJ934OZ93,Does Lisa Tucker have a cure for the modern life?,5.0 out of 5 stars,"Reviewed in the United States on May 5, 2008",4 people found this helpful,Verified Purchase,"Lisa Tucker's latest novel, THE CURE FOR MODERN LIFE, forces us to consider what it means to be a good person in today's social, political and spiritual climate.  Matthew, an executive of a pharmaceutical company, comes face to face with hard questions of morality when he meets, Danny, on a bridge one night.  Should he ignore the ten-year-old's cry for help?  Should he turn away from the small homeless and motherless (his mother is a drug addict) boy and his three-year-old sister on the cold Philadelphia night? Matthew agrees to let Danny and his sister, as well as Danny's mother stay with him in his Philadelphia loft.  Amelia, Matthew's ex and a medical ethicist, comes back into his life.  What happens next is a ""battle"" between Matthew, Amelia, and Danny's wants and desires.  The question remains is there a winner at the expense of the other two? Or is there a way to live with the compromise?  You'll have to read and find out."
2,074349279X,R3LQS37Q3DZTB,I loved it!!!,5.0 out of 5 stars,"Reviewed in the United States on March 28, 2014",,Verified Purchase,"I love Lisa Tucker, so I was excited to find this book.  It was one of my favorites from her.  I like the way her books are so visual and engrossing.  They can easily be converted into movies.  I love the way the book developed the characters, so they each had a unique personality. I love the karmic nature of this book.  The evolution of the character of Matthew was something I really related to.  I would definitely recommend this book to both men and women who love books that really dive into the nature of human relationships and suffering.  This book won't let you down!"
3,074349279X,R37HRBDORSJI3R,"Who are these people, and why do they matter?",2.0 out of 5 stars,"Reviewed in the United States on April 7, 2020",,,"I found this book on a shelf at home, and had no idea where it had come from. It's possibly a loaner from a family member or friend--but since I've been sheltering-in-place due to COVID-19, I'm reading voraciously these days, and decided to give it a spin. I'm a little sorry I read it all the way through, because from the start I found most of the characters lacking in dimension and credibility. The two children, Danny and Isabelle, are at least sympathetic; the adults, on the other hand, seem predictable and, at times, cliched. Character development takes a back seat to the overburdened and unlikely plot--Matthew, the vice president of a huge pharmaceutical company, takes in two nearly-homeless children because their addict mother is incapable of keeping them safe. He pays for a sitter to care for them in his edgy inner-city loft apartment when he's gone, which is frequently. He sends their mother to an expensive rehab program in Florida after Danny begs him to. Later he learns that the children's mother is dying of AIDS, and they will soon become wards of the court. Meanwhile, Matthew's former live-in girlfriend, Amelia, who is now married to Ben, his best friend from medical school, struggles to come to terms with her alternating feelings of love and hate for Matthew. Amelia becomes pregnant only to discover that Ben has never wanted to have children; his passion is--and will always be--science, research, saving lives. There seems to be a lot of sturm und drang in these characters' lives, emotional dishonesty and/or lack of genuine communication. Although there are hints throughout the story that Matthew and Amelia may ultimately reunite, the manner in which the stars realign so that Danny and Isabelle can become members of their new family together strains credulity. Ultimately, I found that I really didn't believe enough in any of the characters to care about their futures."
4,074349279X,R1JG10TPK2IHBI,Literary Page-Turner is Tucker's Most Ambitious Novel Yet,5.0 out of 5 stars,"Reviewed in the United States on August 29, 2015",,,"Tucker offers a cure for modern readers seeking an enjoyable literary page-turner that also explores serious social issues such as addiction, ethics and genetics. Tucker's fourth and most ambitious novel (following Once Upon a Day) is her first to have a male protagonist."
5,074349279X,R28OIN94AMDJ4X,"One of the most miserable ""heroines"" that ever existed.",2.0 out of 5 stars,"Reviewed in the United States on September 15, 2013",,,"I should love this book.  The premise is an old favorite, kids with a rough life find a benefactor.  Will they win his heart over?  This is normally a premise I find interesting, because it can be told in so many ways and take so many twists.  It seems always so simple at first, but it never is."
6,074349279X,R3FZYG5O2XZ882,A WOMAN WRITING FROM A MAN'S POINT OF VIEW,5.0 out of 5 stars,"Reviewed in the United States on March 30, 2012",,,"This is the first book I've ever read by Lisa Tucker.  I didn't know what to expect when I started reading it but I have to say I have never read a more engaging book especially where the male protagonist was written by and so convincingly voiced by a female author.  Matthew Connelly is the 40 year old central figure and Ms. Tucker's depiction of his ""maleness"" is so right on that I found myself crushing on Matthew.  He is highly intelligent, fun, funny, sarcastic, charming, disarming and caring.  He manipulates his friends with a genius void of emotion for their own good as well as his.  As Ms. Tucker has written Matthew he is inherently clever and witty and humor naturally oozes out of his pores in even the most bizarre situation.  Through no desire of his own he inherits 10 year old Danny and 3 year old Isabelle (both homeless) and despite Matthew's protests he almost immediately bonds with them and the reader realizes Matthew's bark is just that and his bite is nonexistent.  One also realizes that despite his griping and fit throwing Matthew is always there for anyone who needs him.  Always.  The only fly in the ointment is Matthew's ex-gf, Amelia, who is a spoiled, self-righteous, sanctimonious, wealthy trust-fund goody-two-shoes.  Amelia hates big corporations, especially pharmaceutical companies.  When she lived with Matthew, Amelia relentlessly mocked and berated Matthew's employer, a big pharma company.  She refused to have lunch with him at his place of employment because she didn't want to degrade herself.  She is also what men would call a ""fatal attraction"".  She devotes her entire life to persecuting and stalking her now ex-boyfriend, Matthew.  Even when she is pregnant by and living with another man she relentlessly harasses poor Matthew and it's obvious to the reader Amelia is still in love with Matthew which makes her persecution of him that much sicker and dare I say it, ""evil"".  Amelia is truly one of the sickest, ugliest female literary characters ever.  Matthew deserved so much better than her and the other loser women he seemed to date.  How did such a nice guy end up with such creepy women?  Perhaps he has a little ""savior complex.""  The Cure for Modern Life is an extremely well written novel.  There is a lot going on so one doesn't get bored.  When it starts to get a little bogged down in technical and pharma info it reintroduces the human element.  There's Matthew, Amelia, Ben, Danny, Isabelle, and the children's drug addict mother, Kim.  The story tells the truth about drug addiction but depicts the addicts humanity in a kind yet honest manner.  This book is now one of my favorites.  This is a funny, charming, heart warming, and even informative story.  I dare you to try and read it without crushing on Matthew.  Good luck with that!  :)"
7,074349279X,R2P89TMAGMZW3K,An odd yet compelling and entertaining read,3.0 out of 5 stars,"Reviewed in the United States on April 5, 2011",,,"This is an interesting and entertaining, if implausible, book about ethics, and the personal and professional choices of a pharmaceutical VP, an ethicist, a scientist and a homeless kid."
8,074349279X,RZU95F22A7FOL,"Story is thought-provoking, but forced",3.0 out of 5 stars,"Reviewed in the United States on April 20, 2008",4 people found this helpful,,"Lisa Tucker prefaces her novel with a quote from Dr. Seuss, which emphasizes the requirement to care a great deal in order to make the world a better place. It's a poignant stage curtain to open on this story which begins with a high-powered executive's opportunity to brush off a ten-year-old homeless boy and his three-year old sister."
9,074349279X,R35E1MENWUX2S9,"""Was Matthew Connelly a bad man?""",4.0 out of 5 stars,"Reviewed in the United States on March 18, 2008",18 people found this helpful,,"That's the first sentence of THE CURE FOR MODERN LIFE: ""Was Matthew Connelly a bad man?"" It is promptly followed by, ""He'd never once asked himself that question."" Will he by the book's conclusion?"
